"[17.659215488371295, 113.26778824463477]","[68.5455890403998, 112.42113123888872]"
"[17.725870874321892, 112.2615949545946]","[68.0925642227797, 117.42387782357052]"
"[18.004472679777038, 111.29734622967574]","[67.99835247467831, 116.38870223175516]"
"[37.07377418962752, 97.0147728601146]","[84.70437280666171, 113.32633775782013]"
"[17.936503038797692, 112.30318155223752]","[68.00342332555654, 119.44142134626243]"
"[17.48828313131308, 113.23393856002244]","[68.71103014492148, 113.47018211380187]"
"[17.528226057627666, 115.28018856623332]","[68.53676726533809, 115.47221232713196]"
"[18.073255636689336, 110.29152444421872]","[68.55559404243962, 113.44090956036906]"
"[18.171080224602978, 108.27142158336474]","[68.67238355409383, 113.4629272389582]"
"[18.142863620711935, 109.28571754027135]","[68.39284146750066, 116.46258420605623]"
"[18.226611962894804, 109.30243397153339]","[68.67238355409383, 113.4629272389582]"
"[17.9108953661364, 113.31713884251884]","[68.45936855736265, 115.45780048288454]"
"[17.962561228524443, 111.28905509787474]","[67.99835247467831, 116.38870223175516]"
"[18.66726249690608, 108.37027642873603]","[68.31506455028895, 116.44812638644396]"
"[42.44704755754155, 109.1717832721282]"
"[17.725870874321892, 112.2615949545946]","[68.01327856267889, 117.40905680304746]"
"[18.362995676822948, 110.34873150042755]","[68.42046105848218, 115.45053483945871]"
"[38.8528953603067, 105.72520177604784]"
"[17.48594943543359, 115.27193946161472]","[68.21042541000602, 117.44580439724636]"
"[18.455410083437688, 111.3855158713135]","[67.21662030637376, 122.34672237056193]"
"[36.18312809723724, 99.88053999985574]","[84.73847211555614, 117.33208793164336]"
"[18.11511046987838, 110.29983731056866]","[67.626861568771, 118.35389540398414]"
"[18.11511046987838, 110.29983731056866]","[67.80579438761785, 119.40485642204212]"
"[36.49759875729644, 97.87487735422792]","[84.70969341134463, 115.32872645961065]"
"[17.743724444216895, 113.28442376632067]","[68.59466375660924, 113.44828783590974]"
"[17.59333957462251, 114.27398781153167]","[68.78792875913271, 113.4845831887931]"
"[18.11511046987838, 110.29983731056866]","[68.30291741281897, 115.42850234792871]"
"[17.743724444216895, 113.28442376632067]","[68.14421340792472, 115.39855917297771]"
"[18.170581255665887, 111.33004525856312]","[67.72575313332884, 119.3899510895552]"
"[17.293291598547132, 114.21474371753118]","[68.38142000405861, 115.44323063292036]"
"[17.878263333197555, 111.27232913329034]","[68.34223069567649, 115.43588498721]"
"[17.597591140007214, 112.23606608271729]","[68.249435007998, 117.45303490513442]"
"[17.683273130851546, 112.25313644271408]","[68.59466375660924, 113.44828783590974]"
"[43.20764391728657, 107.72640299502972]"
"[18.073255636689336, 110.29152444421872]","[68.38142000405861, 115.44323063292036]"
"[17.59333957462251, 114.27398781153167]","[68.35401672855606, 116.45537305747354]"
"[18.046236703172923, 111.30559163264823]","[68.0925642227797, 117.42387782357052]"
"[36.08970823647882, 97.73430622624906]","[84.70969341134463, 115.32872645961065]"
"[18.061022405326927, 112.32757336160668]","[68.10417830649209, 115.39096798295019]"
"[17.85272602903635, 112.28669001822031]","[68.71951054456505, 114.48905304919256]"
"[18.374779892300655, 111.36988471429765]","[67.85303492212782, 117.37893533288441]"
"[14.986089453793124, 101.34389491811642]","[63.31750249995501, 114.3789614194676]"
"[42.483973470388456, 108.12654740495432]"
"[17.59333957462251, 114.27398781153167]","[68.48764329967037, 114.44571213976569]"
"[17.6647311988632, 111.22966451771438]","[67.99835247467831, 116.38870223175516]"
"[17.70154837753603, 113.27612979586796]","[68.62430643118546, 112.43612509405614]"
"[17.18556831631038, 115.21286450324882]","[68.23672629484327, 116.43351125610255]"
"[18.226611962894804, 109.30243397153339]","[68.38142000405861, 115.44323063292036]"
"[17.936503038797692, 112.30318155223752]","[68.44851931411245, 114.43834949487106]"
"[17.315260943296018, 115.23847067218338]","[68.45936855736265, 115.45780048288454]"
"[18.29723749492743, 108.2967802638901]","[68.56548592875028, 114.46031758384714]"
"[17.70154837753603, 113.27612979586796]","[68.40925618458502, 114.43094978106708]"
"[17.725870874321892, 112.2615949545946]","[67.93344777789244, 117.39407897684285]"
"[17.659215488371295, 113.26778824463477]","[68.35401672855606, 116.45537305747354]"
"[17.9108953661364, 113.31713884251884]","[68.08999109946627, 114.37024972639132]"
"[17.9204979708506, 111.28071718596347]","[68.02800002835116, 118.42902396481261]"
"[4.762510761361302, 106.32107600789878]","[51.56839735777357, 113.09869650183157]"
"[17.336895625179125, 116.2617143292997]","[68.249435007998, 117.45303490513442]"
"[17.775808836620236, 110.23197285257808]","[68.44851931411245, 114.43834949487106]"
"[43.76891422172187, 108.56385654705137]"
"[35.88722569778762, 99.7798633605876]","[84.79955237686544, 112.3296835976161]"
"[22.86754589338135, 110.15776167450288]","[73.74874965496143, 114.30047607951298]"
"[17.70154837753603, 113.27612979586796]","[68.15783014007026, 116.41873570190991]"
"[18.3581334578839, 113.40340396897928]","[68.17128255413034, 117.43853526111472]"
"[17.683273130851546, 112.25313644271408]","[68.31506455028895, 116.44812638644396]"
"[22.364047361127298, 113.12319224491922]","[73.36509450642208, 117.27609482576136]"
"[18.046236703172923, 111.30559163264823]","[68.2906049522857, 114.40849908472038]"
"[17.570345073509255, 115.28838582077255]","[68.39284146750066, 116.46258420605623]"
"[18.046236703172923, 111.30559163264823]","[68.44851931411245, 114.43834949487106]"
"[23.034563536337526, 110.1987647007206]","[73.53149206659317, 115.27961909646476]"
"[39.502239457371275, 103.83175757473778]"
"[17.962561228524443, 111.28905509787474]","[68.4770313363622, 113.42603000074392]"
"[36.21977557876013, 99.89294189424534]","[84.67956856336978, 113.32517498937233]"
"[17.76132040458306, 114.30679609679656]","[68.11817981455981, 116.41129180328035]"
"[17.768312896080133, 112.27000751631957]","[68.85711372171292, 112.48013538016102]"
"[35.81248518586533, 99.75427971996157]","[84.6853648022509, 115.3276079477192]"
